region,valor_original,n_iniciativas,categoria,comunas_matcheadas(cut),nota
XVI,Chillán;Chillán Viejo;Quillón;San Nicolás;San Ignacio;Yungay;Bulnes;Ñiquén;San Carlos;Quirihue;Cobquecura;Coelemu;El Carmen,1,multi_completo,Chillán:16101; Chillán Viejo:16103; Quillón:16107; San Nicolás:16305; San Ignacio:16108; Yungay:16109; Bulnes:16102; Ñiquén:16303; San Carlos:16301; Quirihue:16201; Cobquecura:16202; Coelemu:16203; El Carmen:16104,
XVI,Bulnes - Chillán - Chillán Viejo -Cobquecura - Coihueco - El Carmen - Ninhue - Ñiquén - Pemuco -Quillón - Quirihue - Ránquil - San Carlos - San Nicolás - Yungay,1,multi_completo,Bulnes:16102; Chillán:16101; Chillán Viejo:16103; Cobquecura:16202; Coihueco:16302; El Carmen:16104; Ninhue:16204; Ñiquén:16303; Pemuco:16105; Quillón:16107; Quirihue:16201; Ranquil:16206; San Carlos:16301; San Nicolás:16305; Yungay:16109,
XVI,Comuna de Chillán Viejo y San Carlos.,1,multi_completo,Chillán Viejo:16103; San Carlos:16301,
XVI,Ninhue - San Carlos,1,multi_completo,Ninhue:16204; San Carlos:16301,
XVI,Chillán - Chillán Viejo - Cobquecura - Ninhue - Quillón - Ránquil - San Ignacio - San Nicolás - Yungay,1,multi_completo,Chillán:16101; Chillán Viejo:16103; Cobquecura:16202; Ninhue:16204; Quillón:16107; Ranquil:16206; San Ignacio:16108; San Nicolás:16305; Yungay:16109,
XVI,San Carlos - Coihueco - Pinto - Portezuelo - Chillán,1,multi_completo,San Carlos:16301; Coihueco:16302; Pinto:16106; Portezuelo:16205; Chillán:16101,
XVI,"CComunas de El Carmen, San Ignacio y Pinto",1,multi_completo,El Carmen:16104; San Ignacio:16108; Pinto:16106,
XVI,San Carlos-Ñiquén,1,multi_completo,San Carlos:16301; Ñiquén:16303,
XVI,Ranquil - Coelemu,1,multi_completo,Ranquil:16206; Coelemu:16203,
XVI,Chillán - Chillán Viejo,1,multi_completo,Chillán:16101; Chillán Viejo:16103,
XVI,comuna de Coihueco y Pinto,1,multi_completo,Coihueco:16302; Pinto:16106,
XVI,"Cobquecura, Coihueco, Pinto, San Nicolás y Bulnes.",1,multi_completo,Cobquecura:16202; Coihueco:16302; Pinto:16106; San Nicolás:16305; Bulnes:16102,
